"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"Q1";"-SOT363_PHILIPS";1;"MMDT3904";;;
2;"U15,U14,U13,U12";"-SO8";4;"ZXMHC3F381N8";;;
3;"U3";"-SO08W";1;"M25P32";;;
4;"P10,P3,P7,P5";"MHOLE";4;"CONN_1";;;
5;"U11";"LT1117";1;"LT1117CST-3.3";;;
6;"D6";"RSA5M";1;"RSA5M";;;
7;"D1";"-SOD323";1;"10BQ015";;;
8;"U1";"-QSOP16";1;"ADM3101E";;;
9;"IC1";"LQFP128_14x14mm_0.4mmPitch_iMX233";1;"iMX233";;;
10;"J1";"J1";1;"MICROSD";;;
11;"L2,L8,L13,L12,L11";"SM0805";5;"HZ0805D152R-10_";;;
12;"R32,R7,R29";"SM0603";3;"47k";;;
13;"C1,C2,C3,C5,C71,C70,C61,C62,C63,C67,C66,C65,C64,C68,C23,C32,C41,C24,C31,C37,C44,C46,C49,C47,C51,C60,C57,C72,C58,C55,C56,C77";"SM0603";32;"0.1uF";;;
14;"C4,C54";"SM0603";2;".1uF";;;
15;"R8,R34,R27,R50";"SM0603";4;"10k";;;
16;"R9,R28,R30,R31,R13,R16,R5,R33";"SM0603";8;"1k";;;
17;"P2,P1,P9,P8";"pin_array_12x2";4;"CONN_12X2";;;
18;"C40,C48";"SM1206";2;"33uF_Ceramic";;;
19;"C27,C35,C39,C18,C76,C74";"SM1206";6;"33uF";;;
20;"L1";"SM0805";1;"15uH";;;
21;"R22";"SM0603";1;"110";;;
22;"R23,R10";"SM0603";2;"47K";;;
23;"R25,R24";"SM0603";2;"1K_1%";;;
24;"C69,C29,C43,C50,C38,C42";"SM0603";6;"1uF";;;
25;"R1";"SM0603";1;"1";;;
26;"R2,R3";"SM0603";2;"0.1";;;
27;"C45,C22,C30,C36";"SM0603";4;"0.01uF";;;
28;"R19,R17,R18,R15";"SM0603";4;"11k";;;
29;"R14,R12,R11";"SM0603";3;"1.5k";;;
30;"R6";"SM0603";1;"100K";;;
31;"R4";"SM0603";1;"1K";;;
32;"C53,C52";"SM0603";2;"20_pF";;;
33;"P4";"pin_array_4x2";1;"CONN_4X2";;;
34;"JP1,JP2,JP3,JP4";"PIN_ARRAY_2X1";4;"JUMPER";;;
35;"BT1";"PIN_ARRAY_2X1";1;"BATTERY";;;
36;"D5,D8,D9";"SM0603";3;"LED";;;
37;"U4";"SSOP28";1;"GL850G";;;
38;"C14";"SM1206";1;"4.7uF";;;
39;"R36";"SM0603";1;"680_1%";;;
40;"C7,C6";"SM0603";2;"8pF";;;
41;"R20";"SM0603";1;"1M";;;
42;"R21";"SM0603";1;"100k";;;
43;"C16,C10,C11,C9,C13,C15,C20";"SM0603";7;"100nF";;;
44;"C8,C12";"SM0603";2;"10nF";;;
45;"L9,L7,L15,L14";"SM0805";4;"2A_120_ohm";;;
46;"C17,C25,C73";"SM0805";3;"1uF";;;
47;"U8,U7,U6,U5";"SOT-523";4;"RCLAMP0502B";;;
48;"U2";"TSOP66_JEDEC_DDR_SDRAM";1;"MT46V32M16TG";;;
49;"L3,L4,L5,L6";"SRF2012";4;"SRF2012";;;
50;"X1";"ABM8G";1;"24MHz";;;
51;"X2,X3";"ABM8G";2;"12MHz";;;
52;"C34";"SM0805";1;"4.7uF";;;
53;"D4,D3,D2";"LED0603";3;"LED";;;
54;"C59";"SM1206";1;"10uF_Tant.";;;
55;"C28,C26";"SM0603";2;"22pF";;;
56;"R26,R47";"SM0603";2;"4.7k";;;
57;"U10";"TQFP_64";1;"STM32F105RC";;;
58;"C75";"SM0603";1;"100n";;;
59;"R37,R35,R38,R39,R41,R40,R44,R45";"SM0603";8;"2.2k";;;
60;"Q3,Q2,Q4,Q5,Q7,Q6,Q8,Q9";"BS170F";8;"BS170F";;;
61;"R42,R43";"SM0603";2;"0";;;
62;"R46";"SM0603";1;"150";;;
63;"P6";"PIN_ARRAY_5x2";1;"CONN_5X2";;;
64;"J3";"CONN_USB-A_Vertical_Opendous";1;"USB_2A";;;
65;"C21,C19";"SM0805";2;"2.2uF";;;
66;"R49,R48";"SM0805";2;"0";;;
67;"J2";"DC_JACK";1;"DCJ0202";;;
